scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,
YZ,15,R2,5804,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,,FALSE,P,FALSE,,0,2,,,,
MH,15,B1,614,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,0,,FALSE,No,FALSE,,0,3,,,,
YZ,16,R2,1522,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,4,2,,FALSE,P,FALSE,,0,3,,,Very slow elevator,
BH,16,B1,1895,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,5,,FALSE,P,FALSE,,0,3,,,,
JJ,16,B2,3373,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,1,,FALSE,P,FALSE,,0,3,,,Defended,
AZ,16,R3,9709,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,,FALSE,P,FALSE,,0,2,,,3 major fouls in 2 secs,
YR,16,B3,9003,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,3,2,,FALSE,P,FALSE,,0,1,,,,
RN,16,R1,1262,R1,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,,FALSE,P,FALSE,,0,2,,,spun fast randomly multiple times,
YZ,17,R2,3361,R1,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,3,,,,
BH,17,B1,6326,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,2,,,Defense,
AY,17,R3,339,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,2,,,"Tried defense, did nothing",
JJ,17,B2,10224,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,6,,FALSE,No,FALSE,,0,3,,,Intake very forgiving for hp,
RN,17,R1,1599,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,0,,FALSE,No,FALSE,,0,2,,,,
YR,17,B3,4505,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,2,,FALSE,P,FALSE,,0,2,,,,
JJ,18,B2,539,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,3,,,"Missed an auto l2, elevator died, coral stuck",
AY,18,R3,2998,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,,FALSE,P,FALSE,,0,2,,,Missed some L1,
YZ,18,R2,2988,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,TRUE,P,FALSE,,0,1,,,Defense,
BH,18,B1,4286,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,3,,,Got a foul during auto,
YR,18,B3,5804,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,,FALSE,P,FALSE,,0,1,,,,
RN,18,R1,346,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,2,0,0,0,4,,FALSE,P,FALSE,,0,3,,,,
AY,19,R3,449,R3,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,2,4,7,,FALSE,No,FALSE,,0,5,,,,
JJ,19,B2,9709,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,3,,,"Drive never moved, elevator did.",
BH,19,B1,5724,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,1,0,0,0,,FALSE,No,FALSE,,0,4,,,,
YR,19,B3,614,R1,FALSE,TRUE,1,0,0,0,FALSE,TRUE,0,0,1,4,1,0,0,,TRUE,P,FALSE,,0,3,,,,
RN,19,R1,1895,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,2,3,,FALSE,No,FALSE,,0,3,,,,
JJ,20,B2,339,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,0,0,,FALSE,P,FALSE,,0,3,,,,
BH,20,B1,9214,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,3,,,Defense,
YZ,20,R2,9003,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,4,2,,FALSE,No,FALSE,,0,4,,,,
YR,20,B3,6802,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,1,,,,
RN,20,R1,10257,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,1,0,,FALSE,P,FALSE,,0,2,,,,
AY,20,R3,4505,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,1,,,Took multiple shots; bad aim,
AY,21,R3,6326,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,2,,,Defense,
YR,21,B3,1262,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,5,0,,FALSE,P,FALSE,,0,3,,,,
RN,21,R1,404,R2,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,3,0,0,0,0,,FALSE,P,FALSE,,0,1,,,,
SZ,21,B2,2106,R3,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,2,0,0,0,4,,FALSE,P,FALSE,,0,5,,,,
JY,21,R2,8592,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,6,0,,TRUE,D,TRUE,,0,4,,,coral stuck briefly,
AY,22,R3,10370,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,,FALSE,P,FALSE,,0,3,,,,
YR,22,B3,10224,R3,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,1,0,0,3,,FALSE,No,FALSE,,0,1,,,,
