scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
JJ,19,R2,1418,C,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,1,0,1,1,4,TRUE,D,FALSE,0,0,1,NA,5,"HP missed coral in auto, managed to descore an l3 on their own reef, hp kinda sucks"
GL,19,B2,4541,M,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,1,2,4,2,1,FALSE,No,FALSE,0,0,3,NA,,"Didn41391t try for parking, but probably could have. Otherwise pretty average and focused on ranking points over high score."
GEH,19,R1,9072,F,FALSE,TRUE,0,0,0,2,TRUE,TRUE,3,0,0,4,0,1,1,3,FALSE,P,FALSE,0,0,4,NA,,"Very fast, but tends to miss coral because they rush it"
Ashwin,19,R3,614,M,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,2,2,2,0,0,FALSE,P,FALSE,0,0,3,NA,,"Took over 5 seconds to score each coral, almost got beached once"
BH,19,B1,401,F,FALSE,TRUE,0,0,0,3,FALSE,FALSE,0,0,0,4,5,2,1,0,TRUE,P,FALSE,0,0,4,NA,,
BH,20,B1,5338,C,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,0,0,0,12,1,FALSE,P,FALSE,0,0,4,NA,,
JJ,20,R2,4638,F,FALSE,TRUE,0,0,0,3,FALSE,FALSE,0,0,0,0,0,0,6,1,FALSE,No,FALSE,0,0,2,NA,,Has a very specific configuration where the coral gets stuck in the funnel
GEH,20,R1,539,F,FALSE,FALSE,1,0,0,0,TRUE,TRUE,0,0,2,2,0,4,0,1,FALSE,P,FALSE,0,0,5,NA,,"Very good overall, decent at processing algae and scoring coral on the reef. "
TC,20,R1,686,M,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,3,0,TRUE,D,FALSE,0,0,3,ba,,Missed starting pos.
GL,20,B2,5115,M,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,0,0,TRUE,D,TRUE,1,4,3,NA,,"Helped cause a beach, even though it was temporary. Slowed a lot of potential cycles with the beach and coral station zone defense, but man marking was average or slightly below average."
Ashwin,20,R3,10224,M,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,3,0,0,TRUE,D,TRUE,0,0,2,NA,,Disabled for first half of match
BH,21,B1,2363,F,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,2,0,1,2,3,0,TRUE,D,FALSE,0,0,3,NA,,
JJ,21,R2,1885,C,FALSE,FALSE,0,0,0,0,TRUE,TRUE,0,0,10,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,"Tried to remove 4 during auto, removed 3. When removing algae, it can get stuck on top"
GEH,21,R1,1111,M,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,1,3,3,0,FALSE,No,FALSE,0,0,5,NA,,"Very good at coral, likely could have scored more except another team kept pinning them in defense."
GL,21,B2,1731,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,3,2,4,2,TRUE,D,FALSE,0,0,4,NA,1,"Crazy auto. Cycles were not as smooth as some other teams, but was still quick."
Ashwin,21,R3,2890,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,2,2,FALSE,No,FALSE,0,0,2,NA,5,Bad at intaking coral from feed and dropped 2 corals before in range to score
TC,21,R1,346,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,No,FALSE,0,4,3,cs,2,Stopped 20secs before ending. Played defense after stuck coral.
